random_seed,fold,threshold,roc_auc,C,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],,6.505252793368653,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],,5.8084554084587285,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],,15.601948442379607,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],,3.4389486726697283,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],,4.6451366269585,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],,15.601948442379607,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],,18.182578538213342,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],,8.605518967343334,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],,0.968673693566368,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],,9.767301633426985,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],,73.19942098174633,1,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],,4.6451366269585,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],,4.6451366269585,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],,0.3732808566572239,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],,15.601948442379607,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],,37.45407443072437,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],,15.601948442379607,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],,86.61762795987894,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],,5.8084554084587285,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],,15.601948442379607,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],,3.4389486726697283,1,1,1,1,1,1,1,1,1,1,1,1
